,Méningite,Maladies Cardiovasculaires  ,Démence  ,Maladies rénales  ,Maladies respiratoires,Maladies du foie ,Maladies digestives   ,Hépatite  ,Cancers  ,Maladie de Parkinson  , Incendie ,Noyade,Homicide  ,VIH/SIDA ,Excés de drogue,Tuberculose ,Blessures de la route,Troubles lié à  l'alcoolisme,Catastrophes naturelle,Maladies diarrhéiques,Chaleur (Froid ou Chaud),Déficiences nutritionnelles,Suicide,Diabète  ,Empoisonnement 
1990,2613.171837,68113.47522,3409.847682,2197.027749,5062.737355,2047.441164,4220.234234,419.303723,11665.6827,477.1119975,1312.412925,1262.363989,162.937678,102.6212952,156.4818139,8179.234461,8630.539518,67.5239444,0,10568.06981,67.41869025,284.4890852,1743.509154,3216.644628,424.4563925
1991,2472.623937,69982.79356,3568.961345,2248.075216,5150.59515,2083.032269,4260.30238,413.7064442,12023.59317,495.2447582,1291.144924,1223.105983,166.8474608,126.6167806,168.8345894,7991.32967,8607.926393,70.73604711,0,9449.496958,67.62764155,269.3665596,1793.665855,3333.96249,420.6562343
1992,2357.255599,72069.75327,3728.749598,2308.440273,5250.234925,2122.535201,4314.267016,409.870067,12393.87676,514.1185129,1276.914538,1185.820995,173.6411246,154.5161332,181.6036349,7899.288607,8577.38559,73.96766747,0,8500.347154,68.20392496,253.412042,1848.150432,3466.787583,418.3753983
1993,2270.459474,74488.41394,3883.468945,2383.024326,5376.121515,2166.869405,4373.921692,409.79996,12813.20858,533.1681203,1275.49188,1166.431965,186.0939701,186.3236617,196.908429,7892.194797,8632.544908,77.60691415,0,7716.550716,68.94641135,239.5743183,1922.655288,3613.961063,420.2817684
1994,2194.113934,76062.30065,4024.731918,2431.38079,5447.028242,2205.767357,4417.179887,406.4645341,13148.10067,550.4029671,1267.268412,1139.884416,199.8479554,221.7210037,209.1155921,7743.422703,8550.35617,80.16096914,0,7007.127005,68.08473544,231.4777602,1965.348032,3717.234449,420.4149636
1995,2149.27361,78357.05291,4204.793354,2499.681412,5587.332984,2252.526131,4479.15213,406.1926278,13541.10817,575.4658939,1267.839853,1134.086744,222.421316,260.6549505,224.4191255,7671.295748,8575.19802,83.17964395,791.0000273,6418.918361,67.68119709,224.3007413,2022.683338,3847.195027,424.6939671
1996,2069.291555,80373.58675,4413.381805,2565.15823,5729.853922,2298.301074,4532.667784,405.0873417,13929.62999,605.4306038,1259.337272,1120.456724,252.8849562,302.3606128,241.6859649,7498.451824,8592.586336,86.2987311,38.99999998,5851.457309,67.18313014,223.890698,2114.01988,3983.917684,426.0527948
1997,1994.500147,82917.0978,4613.137941,2644.069601,5899.275121,2352.289257,4601.581093,407.6281805,14415.09047,634.7470521,1279.425221,1090.102639,290.5562673,347.5995477,261.1677942,7405.914133,8598.164895,89.88805392,60.00000043,5350.967508,66.50965968,217.6317649,2215.879647,4159.284993,427.4262949
1998,1946.290433,83778.99978,4737.49882,2672.937364,5958.15776,2384.682787,4625.274251,405.9216072,14720.13269,651.707064,1228.070811,1056.731037,332.1023765,397.4086114,278.3021765,7196.542652,8553.039491,92.79059754,0,4888.44326,65.80821765,207.6319171,2277.103846,4243.464426,425.9506503
1999,1817.590759,85487.04835,4908.197455,2745.740355,6056.513954,2419.70619,4668.085361,408.7345395,15153.41289,676.1719791,1203.535337,1020.492467,376.8501314,452.5084201,301.6063647,7072.662889,8524.795994,93.6509789,0,4489.607817,66.15375676,204.8648135,2378.528485,4429.547639,430.2097595
2000,1739.326481,85073.26551,4981.038998,2763.913743,5998.419537,2410.789831,4633.504292,405.6150286,15332.00765,687.818675,1158.583734,973.6299283,399.2823071,513.418071,321.9221106,6819.226583,8388.156501,92.24055356,5.999999999,4158.920105,66.3080383,198.1141568,2443.064786,4545.135539,433.6762354
2001,1665.929545,85635.36899,5073.662242,2824.209629,6003.596446,2418.924381,4635.283732,405.6139569,15672.60892,704.7916375,1125.736334,934.8643184,423.939007,579.4766952,345.5173134,6651.501746,8327.225579,92.55056882,14.99999999,3824.36698,66.5710717,190.2621166,2494.147409,4706.452961,436.4428655
2002,1611.468007,86236.1068,5230.036642,2898.837916,6013.197886,2442.258215,4677.43628,403.1455929,16015.39797,728.2436684,1142.299351,899.7392737,428.8539949,650.7402173,360.1613859,6481.023938,8160.728934,92.21823447,79.99999971,3557.687183,67.15373034,185.139949,2514.957282,4874.057825,435.2366678
